BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID,,BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Gunner,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,Materiel Storage Handling Specialist,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Mortar Carrier Driver,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,#2 Materiel Storage Handling Specialist,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Assistant Gunner,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,#3 Materiel Storage Handling Specialist,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Ammunition Bearer,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,Materiel Storage Handling Sergeant,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Squad Leader,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,#1 Materiel Storage Handling Specialist,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Gunner,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,#2 Materiel Storage Handling Specialist,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Mortar Carrier Driver,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,Materiel Storage Handling Specialist,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Assistant Gunner,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,1,Materiel Storage Handling Specialist,205,,
2CR,2SQN2CR,WFBVAA,F,H,N/A,M,Ammunition Bearer,202,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,Section Chief,206,,
2CR,2SQN2CR,WFBVAA,F,1,H,H,Platoon Leader,203,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,Ammunition Sergeant,206,,
2CR,2SQN2CR,WFBVAA,F,1,H,H,Platoon Sergeant,203,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#1 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,H,H,Radiotelephone Operator (RATELO),203,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#2 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#1 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#3 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#2 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#4 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,Ammunition Sergeant,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#1 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#3 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#2 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#4 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#3 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#4 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,Ammunition Sergeant,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,Squad Leader,205,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#1 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#1 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#2 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#2 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#3 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#1 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,2,N/A,2,#4 Ammunition Specialist,206,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#2 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,H,Platoon Leader,207,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#1 Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,H,Platoon Sergeant,207,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#2 Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,Section Chief,208,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#1 Grenadier,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,1,#2 Grenadier,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,Squad Leader,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#1 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#2 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#1 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#2 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#1 Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#2 Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#1 Grenadier,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,A,2,#2 Grenadier,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,Squad Leader,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#1 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#2 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#1 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#2 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#1 Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#2 Rifleman,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#1 Grenadier,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,3,#2 Grenadier,205,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,4,Squad Leader,206,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#1 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,4,#1 Machine-Gunner,206,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,#2 Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,4,#2 Machine-Gunner,206,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,Petroleum Heavy Vehicle Operator (HVO),208,,
2CR,2SQN2CR,WFBVAA,F,1,B,4,#1 Assistant Machine/Gunner (M/G),206,,,,2CR,BSS2CR,WE35AA,A,3,N/A,1,Petroleum Supply Sergeant,208,,
2CR,2SQN2CR,WFBVAA,F,1,B,4,#2 Assistant Machine/Gunner (M/G),206,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,Water Treatment Supervisor,209,,
2CR,2SQN2CR,WFBVAA,F,2,H,H,Platoon Leader,203,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,Water Treatment Non-commissioned Officer (NCO),209,,
2CR,2SQN2CR,WFBVAA,F,2,H,H,Platoon Sergeant,203,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,Water Treatment Specialist,209,,
2CR,2SQN2CR,WFBVAA,F,2,H,H,Radiotelephone Operator (RATELO),203,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,#1 Water Treatment Specialist,209,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#1 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,#2 Water Treatment Specialist,209,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#2 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,#1 Water Treatment Specialist,209,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,#2 Water Treatment Specialist,209,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,Water Treatment Specialist,209,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#3 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,Water Treatment Non-commissioned Officer (NCO),209,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#4 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,Water Treatment Non-commissioned Officer (NCO),209,,
2CR,2SQN2CR,WFBVAA,F,2,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,A,3,N/A,2,Water Treatment Specialist,209,,
2CR,2SQN2CR,WFBVAA,F,2,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,BSS2CR,WE35AA,B,H,N/A,H,Commander,301,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,Squad Leader,205,,,,2CR,BSS2CR,WE35AA,B,H,N/A,H,First Sergeant (1SG),301,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#1 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,B,H,N/A,H,Supply Non-commissioned Officer (NCO),301,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#2 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,B,H,N/A,H,Supply Specialist,301,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#1 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,H,N/A,H,Operations Readiness Specialist,301,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#2 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,H,N/A,H,Executive Officer (XO),301,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#1 Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Maintenance Control Officer,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#2 Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Senior Maintenance Supervisor,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#1 Grenadier,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Master Driver Trainer,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,1,#2 Grenadier,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Equipment Record/Parts Specialist,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,Squad Leader,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Equipment Record/Parts Sergeant,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#1 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Equipment Record/Parts Specialist,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#2 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Equipment Record/Parts Specialist,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#1 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Equipment Record/Parts Specialist,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#2 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,1,Equipment Record/Parts Specialist,302,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#1 Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#2 Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,Allied Trades (AT) Warrant Officer,303,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#1 Grenadier,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,Recovery Vehicle Supervisor,303,,
2CR,2SQN2CR,WFBVAA,F,2,A,2,#2 Grenadier,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#1 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,Squad Leader,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#2 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#1 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#3 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#2 Fire Team Leader,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#4 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#1 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#5 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#2 Automatic Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#6 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#1 Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#7 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#2 Rifleman,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,#8 Allied Trades Specialist,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#1 Grenadier,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,Recovery Vehicle Operator,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,3,#2 Grenadier,205,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,Recovery Vehicle Operator,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,4,Squad Leader,206,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,Recovery Vehicle Operator,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,4,#1 Machine-Gunner,206,,,,2CR,BSS2CR,WE35AA,B,1,N/A,2,Recovery Vehicle Operator,303,,
2CR,2SQN2CR,WFBVAA,F,2,B,4,#2 Machine-Gunner,206,,,,2CR,BSS2CR,WE35AA,B,2,N/A,H,Platoon Leader,304,,
2CR,2SQN2CR,WFBVAA,F,2,B,4,#1 Assistant Machine/Gunner (M/G),206,,,,2CR,BSS2CR,WE35AA,B,2,N/A,H,Platoon Sergeant,304,,
2CR,2SQN2CR,WFBVAA,F,2,B,4,#2 Assistant Machine/Gunner (M/G),206,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,H,H,Platoon Leader,207,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,H,H,Platoon Sergeant,207,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,H,H,Radiotelephone Operator (RATELO),207,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,Section Sergeant,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#1 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#1 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#2 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#1 Stryker System Maintainer,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#2 Stryker System Maintainer,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#1 Senior Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#3 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#2 Senior Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#4 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#3 Senior Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,4,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#2 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,4,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#3 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,Squad Leader,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#4 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#1 Fire Team Leader,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#5 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#2 Fire Team Leader,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#6 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#1 Automatic Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#7 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#2 Automatic Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#8 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#1 Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,1,#9 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#2 Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#10 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#1 Grenadier,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#11 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,1,#2 Grenadier,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#12 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,Squad Leader,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#13 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#1 Fire Team Leader,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#14 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#2 Fire Team Leader,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#15 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#1 Automatic Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#16 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#2 Automatic Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#17 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#1 Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,#18 Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#2 Rifleman,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#1 Grenadier,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,A,2,#2 Grenadier,209,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,Squad Leader,210,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#1 Fire Team Leader,210,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#2 Fire Team Leader,210,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#1 Automatic Rifleman,210,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#2 Automatic Rifleman,210,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Wheeled Vehicle Mechanic,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#1 Rifleman,210,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Recovery Vehicle Operator,305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#2 Rifleman,210,,,,2CR,BSS2CR,WE35AA,B,2,N/A,2,Automotive Maintenance Warrant Officer (WO),305,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#1 Grenadier,210,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,Tactical Power Generator Specialist,306,,
2CR,2SQN2CR,WFBVAA,F,3,B,3,#2 Grenadier,210,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,Engineer Equipment Maintenance Warrant Officer (WO),306,,
2CR,2SQN2CR,WFBVAA,F,3,B,4,Squad Leader,211,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,#1 Utilities Equipment Repairer,306,,
2CR,2SQN2CR,WFBVAA,F,3,B,4,#1 Machine-Gunner,211,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,#2 Utilities Equipment Repairer,306,,
2CR,2SQN2CR,WFBVAA,F,3,B,4,#2 Machine-Gunner,211,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,#3 Utilities Equipment Repairer,306,,
2CR,2SQN2CR,WFBVAA,F,3,B,4,#1 Assistant Machine/Gunner (M/G),211,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,Special Purpose Equipment Repair Supervisor,306,,
2CR,2SQN2CR,WFBVAA,F,3,B,4,#2 Assistant Machine/Gunner (M/G),211,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,Tactical Power Generator Specialist,306,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Commander,201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,#1 Quartermaster Chemical Equipment Repairer,306,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Interim Armored Vehicle (IAV) Commander,201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,Tactical Power Generator Specialist,306,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Interim Armored Vehicle (IAV) Driver,201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,Utilities Equipment Repairer,306,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Radiotelephone Operator (RATELO),201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,1,#2 Quartermaster Chemical Equipment Repairer,306,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Executive Officer (XO),201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Radio Equipment Repairer,307,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Interim Armored Vehicle (IAV) Commander,201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Radio Equipment Repairer,307,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Interim Armored Vehicle (IAV) Driver,201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Land Combat Electronic Missile System Repairer,307,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Radiotelephone Operator (RATELO),201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Land Combat Electronic Missile System Repairer,307,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,First Sergeant (1SG),201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Radio Equipment Repairer,307,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Forward Signal Support Non-commissioned Officer (NCO),201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Senior Radio Equipment Repairer,307,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,H,Operations Readiness Non-commissioned Officer (NCO),201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Land Combat Electronic Missile System Repairer,307,,
2CR,2SQN2CR,WFBVAA,G,H,N/A,S,Supply Sergeant,201,,,,2CR,BSS2CR,WE35AA,B,3,N/A,2,Radar Repairer,307,,
